"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.270444583E-1,-4.397053546E-1,1.158314271E0,1.515387797E-1,1.248197401E0
6.370154583E-1,-5.520426464E-1,9.462690885E-1,3.403640842E-1,1.147180884E0
6.469854583E-1,-6.723113939E-1,8.473090567E-1,4.753289312E-1,1.181470626E0
6.569554583E-1,-8.043660817E-1,8.876913898E-1,6.820777059E-1,1.378488590E0
6.669254583E-1,-7.604198706E-1,1.071382400E0,1.019307098E0,1.662854650E0
6.768954583E-1,-5.336616316E-1,1.215711856E0,1.395455557E0,1.926148038E0
6.868664583E-1,-4.102026433E-1,1.254393672E0,1.561216519E0,2.044301033E0
6.968364583E-1,-3.338415152E-1,1.191102825E0,1.633580491E0,2.049087923E0
7.068064583E-1,-2.901908809E-1,1.109276889E0,1.740842400E0,2.084523501E0
7.167764583E-1,-2.938325268E-1,9.686111534E-1,1.865562925E0,2.122467938E0
7.267464583E-1,-2.862814325E-1,7.486839241E-1,2.013341945E0,2.167032640E0
7.367174583E-1,-3.184148061E-1,5.791028295E-1,2.066134116E0,2.169252927E0
7.466874583E-1,-3.053883791E-1,4.794349922E-1,2.116012620E0,2.191033861E0
7.566574583E-1,-2.098138851E-1,4.517250372E-1,2.311949893E0,2.364992533E0
7.666274583E-1,-6.333440870E-2,4.731860729E-1,2.505058867E0,2.550144356E0
7.765974583E-1,3.360979557E-2,4.354848343E-1,2.548853928E0,2.586007155E0
7.865684583E-1,1.764496726E-1,2.791741419E-1,2.437639886E0,2.459910751E0
7.965384583E-1,2.763499367E-1,6.892990172E-2,2.133311023E0,2.152239889E0
8.065084583E-1,2.875403380E-1,-1.636102103E-1,1.616079190E0,1.649593797E0
8.164784583E-1,2.635021421E-1,-3.754659431E-1,9.936226183E-1,1.094392051E0
8.264484583E-1,2.436949915E-1,-5.402331711E-1,3.868471098E-1,7.077356953E-1
8.364194583E-1,2.629867101E-1,-6.625012279E-1,-2.349422944E-1,7.505116710E-1
8.463894583E-1,2.456333435E-1,-7.134763768E-1,-6.964957702E-1,1.026883946E0
8.563594583E-1,2.522772422E-1,-7.245144582E-1,-8.068075866E-1,1.113329910E0
8.663294583E-1,2.977796897E-1,-7.852277063E-1,-7.011250108E-1,1.093997978E0
