"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.543130813E1,-9.479089402E-1,2.053360873E-1,-6.820134596E-1,1.185679816E0
8.544127713E1,-7.060803799E-1,5.045691025E-1,-8.484637356E-1,1.213684552E0
8.545124758E1,-4.289147566E-1,8.391555530E-1,-1.172256811E0,1.504106360E0
8.546121758E1,-1.107453874E-1,1.155814440E0,-1.353219949E0,1.783080422E0
8.547118758E1,1.350955322E-1,1.301947469E0,-1.467982081E0,1.966796737E0
8.548115758E1,2.863948685E-1,1.256795270E0,-1.595901618E0,2.051452740E0
8.549112758E1,2.926220070E-1,1.167828714E0,-1.704974409E0,2.087196512E0
8.550109758E1,1.057129812E-1,1.036031889E0,-1.795373533E0,2.075548947E0
8.551106758E1,-8.211347267E-2,1.011168358E0,-1.760034131E0,2.031483254E0
8.552103658E1,-1.221402951E-1,1.281583371E0,-1.467175165E0,1.951916278E0
8.553100658E1,-1.321016116E-1,1.831791161E0,-8.385398412E-1,2.018925150E0
8.554097658E1,-1.918130855E-1,2.479693646E0,-5.279650549E-1,2.542522357E0
8.555094658E1,-2.539464761E-1,2.878669050E0,-5.178843455E-1,2.935886324E0
8.556091658E1,-2.866742192E-1,3.123510681E0,-4.018650254E-1,3.162277119E0
8.557088658E1,-2.490090872E-1,3.153249035E0,8.062214032E-3,3.163076035E0
8.558085658E1,-2.364494142E-1,2.793902550E0,5.261898402E-1,2.852836401E0
8.559082658E1,-3.512574470E-1,2.102964558E0,7.196916016E-1,2.250288365E0
8.560079658E1,-2.149095874E-1,1.513964585E0,5.206735770E-1,1.615356267E0
8.561076558E1,1.801182157E-1,1.096060574E0,6.285569715E-1,1.276273960E0
8.562073558E1,3.981978710E-1,8.835253948E-1,1.035858884E0,1.418514115E0
8.563070558E1,3.510009004E-1,6.991042131E-1,1.290679154E0,1.509238553E0
8.564067558E1,2.771091977E-1,4.384183824E-1,1.440630122E0,1.531148371E0
8.565064558E1,2.805665101E-1,2.361240166E-1,1.609174798E0,1.650428928E0
8.566061558E1,3.471016847E-1,-1.260016501E-2,1.762194092E0,1.796097537E0
8.567058558E1,5.092578386E-1,-1.073314905E-1,1.691222928E0,1.769491053E0
8.568055558E1,7.836002800E-1,8.018637657E-2,1.529975431E0,1.720838189E0
8.569052458E1,1.079857647E0,3.103181666E-1,1.307878300E0,1.724220273E0
8.570049458E1,1.291583133E0,6.494321162E-1,9.381388275E-1,1.723384323E0
8.571046458E1,1.432155752E0,9.483254081E-1,7.819797242E-1,1.887295278E0
8.572043458E1,1.534733457E0,1.116462094E0,8.465471645E-1,2.078108874E0
8.573040458E1,1.531729011E0,9.723299825E-1,8.769245461E-1,2.015097024E0
8.574037458E1,1.222126836E0,4.806598377E-1,8.010334611E-1,1.538272566E0
8.575034458E1,7.559015809E-1,1.305683255E-3,6.860620717E-1,1.020818334E0
8.576031458E1,3.266066091E-1,-4.781923127E-1,5.019296694E-1,7.663374962E-1
8.577028458E1,5.345816910E-4,-8.701077890E-1,3.263271122E-1,9.292885636E-1
8.578025358E1,-2.806311218E-1,-1.138714258E0,3.115032510E-1,1.213448913E0
8.579022358E1,-5.053592075E-1,-1.362995909E0,1.933837938E-1,1.466473003E0
8.580019358E1,-6.176137613E-1,-1.539832082E0,8.173011459E-2,1.661086816E0
8.581016358E1,-6.440371826E-1,-1.727110214E0,1.575579035E-1,1.850004885E0
8.582013358E1,-5.457364243E-1,-1.846661800E0,3.931597638E-1,1.965340339E0
8.583010358E1,-5.076654956E-1,-1.922968549E0,5.210782043E-1,2.055980251E0
8.584007358E1,-5.655814357E-1,-1.993232201E0,5.307505953E-1,2.138820507E0
8.585004358E1,-5.857090138E-1,-1.969249846E0,3.347764850E-1,2.081604021E0
8.586001358E1,-5.835965610E-1,-1.865117367E0,8.641132236E-2,1.956199033E0
8.586998258E1,-4.703548510E-1,-1.803004734E0,-3.329762734E-2,1.863643874E0
8.587995258E1,-2.096912397E-1,-1.662222492E0,-6.425373718E-2,1.676628334E0
8.588992258E1,7.164900318E-2,-1.409338017E0,-3.362499833E-2,1.411558665E0
8.589989258E1,4.864449267E-1,-1.171231794E0,4.883002482E-2,1.269171759E0
8.590986258E1,8.088970891E-1,-1.004684966E0,-1.022490907E-1,1.293893835E0
8.591983258E1,9.822857442E-1,-8.440274531E-1,-2.665231792E-1,1.322233803E0
8.592980258E1,1.098849696E0,-8.377732712E-1,-2.137649218E-1,1.398223927E0
8.593977258E1,1.134813434E0,-8.798556823E-1,-2.667488086E-1,1.460514457E0
8.594974158E1,1.038836944E0,-8.769730049E-1,-3.511545360E-1,1.404127258E0
8.595971158E1,9.289838420E-1,-8.731214440E-1,-3.467937191E-1,1.321218346E0
8.596968158E1,9.099102245E-1,-8.470171344E-1,-3.681126308E-1,1.296488161E0
8.597965158E1,1.052146084E0,-7.553439027E-1,-3.554031229E-1,1.343081224E0
8.598962158E1,1.249958705E0,-6.290376127E-1,-4.265309930E-1,1.462878591E0
8.599959158E1,1.414450530E0,-4.545058268E-1,-7.113079369E-1,1.647180873E0
8.600956158E1,1.406158739E0,-3.325416791E-1,-8.052901610E-1,1.654194248E0
8.601953158E1,1.299884133E0,-2.637070870E-1,-8.154725754E-1,1.556995732E0
8.602950158E1,1.191831096E0,-1.211186403E-1,-8.380662167E-1,1.462014388E0
8.603947058E1,8.865013352E-1,-4.933471262E-2,-7.066289949E-1,1.134743613E0
8.604944058E1,7.163055521E-1,-5.900951564E-2,-6.483754512E-1,9.679702953E-1
8.605941058E1,5.688345341E-1,-1.869489330E-1,-6.026011447E-1,8.495003063E-1
8.606938058E1,3.920088856E-1,-4.640449744E-1,-5.095065280E-1,7.928465215E-1
8.607935058E1,2.935223320E-1,-7.850325555E-1,-5.007812762E-1,9.763264614E-1
8.608932058E1,3.103823398E-1,-9.668686831E-1,-4.276840639E-1,1.101855665E0
8.609929058E1,3.660311683E-1,-8.473738146E-1,-3.331264007E-1,9.813227790E-1
8.610926058E1,5.081948879E-1,-2.412929553E-1,-3.278580229E-1,6.511337938E-1
8.611923058E1,5.350855017E-1,5.146923870E-1,-7.040211368E-1,1.023166902E0
8.612919958E1,5.800402113E-1,1.430819517E0,-1.185307796E0,1.946444376E0
8.613916958E1,8.739643932E-1,2.169015291E0,-1.406724311E0,2.728976801E0
8.614913958E1,1.091643441E0,2.535566130E0,-1.527461128E0,3.154983122E0
8.615910958E1,1.257016002E0,2.480445013E0,-1.523039464E0,3.170543471E0
8.616907958E1,1.409753461E0,1.957802167E0,-1.518500855E0,2.850655888E0
8.617904958E1,1.454312460E0,1.336765299E0,-1.714089049E0,2.615352264E0
8.618901958E1,1.534100203E0,9.309118152E-1,-1.533338749E0,2.360336408E0
8.619898958E1,1.510934266E0,8.765151680E-1,-8.707848966E-1,1.951785729E0
8.620895858E1,1.280348878E0,1.242387730E0,-5.709268141E-1,1.873173230E0
8.621892858E1,9.637480972E-1,1.729991722E0,-5.993361691E-1,2.069030110E0
8.622889858E1,6.135889035E-1,2.155025243E0,-5.644469297E-1,2.310676411E0
8.623886858E1,3.287933215E-1,2.371119037E0,-3.360850918E-1,2.417284370E0
8.624883858E1,1.713774323E-1,2.071087292E0,-9.110670961E-2,2.080161828E0
8.625880858E1,1.376837292E-1,1.401330839E0,9.131245852E-2,1.411036107E0
8.626877858E1,9.125164747E-2,7.543440288E-1,4.218332668E-1,8.690828971E-1
8.627874858E1,1.552581936E-3,2.922362369E-1,9.746443105E-1,1.017514600E0
8.628871858E1,-1.053821019E-1,2.039555597E-1,1.530751941E0,1.547871042E0
8.629868758E1,-2.414941726E-1,5.390495485E-1,1.757789969E0,1.854378448E0
8.630865758E1,-5.612446290E-1,9.503655016E-1,1.388873931E0,1.774023934E0
8.631862758E1,-8.610084982E-1,1.293747334E0,9.878144328E-1,1.841438338E0
8.632859758E1,-1.032993675E0,1.511578336E0,9.427910185E-1,2.059320253E0
8.633856758E1,-1.051517362E0,1.697661297E0,1.154441587E0,2.306616141E0
8.634853758E1,-1.096492903E0,1.750217825E0,1.346836982E0,2.465670087E0
8.635850758E1,-1.045349061E0,1.737482005E0,1.339523285E0,2.430210075E0
8.636847758E1,-9.095053779E-1,1.645928641E0,1.118598082E0,2.188045428E0
8.637844658E1,-7.099864662E-1,1.244314388E0,9.032031027E-1,1.693568695E0
8.638841658E1,-4.351758090E-1,7.558257133E-1,9.860836570E-1,1.316438936E0
8.639838658E1,-1.947877834E-1,2.718136668E-1,1.127238001E0,1.175793545E0
8.640835658E1,5.552515984E-3,-1.190300149E-1,1.153626412E0,1.159764146E0
8.641832658E1,2.960769805E-1,-3.068057442E-1,9.684719896E-1,1.058172641E0
8.642829658E1,4.473901308E-1,-4.985195732E-1,6.343539742E-1,9.225424969E-1
8.643826658E1,4.968822066E-1,-7.829860300E-1,3.349365525E-1,9.859723853E-1
8.644823658E1,6.169884016E-1,-1.102164482E0,4.197716848E-1,1.331033246E0
8.645820675E1,6.998335071E-1,-1.393481537E0,3.725168268E-1,1.603223789E0
8.646817575E1,7.674208881E-1,-1.682564955E0,6.748739362E-2,1.850544297E0
8.647814575E1,6.571092910E-1,-1.847918367E0,7.026832938E-2,1.962532178E0
8.648811575E1,6.980965917E-1,-1.955556251E0,4.709580644E-1,2.129164297E0
8.649808575E1,5.608922611E-1,-2.070806041E0,4.085320938E-1,2.183972587E0
8.650805575E1,2.589770550E-1,-2.113952061E0,1.960349945E-1,2.138759489E0
8.651802575E1,-1.274788760E-1,-2.102901408E0,3.610047555E-1,2.137468042E0
8.652799575E1,-4.689172400E-1,-2.082937260E0,4.946042776E-1,2.191607720E0
8.653796575E1,-8.316755024E-1,-1.964834028E0,5.678079823E-1,2.207863856E0
8.654793575E1,-1.150321785E0,-1.765417078E0,5.416264164E-1,2.175614130E0
8.655790475E1,-1.315920122E0,-1.457423764E0,2.706793801E-1,1.982169801E0
8.656787475E1,-1.393677126E0,-1.048363082E0,1.069116604E-1,1.747235298E0
8.657784475E1,-1.372996109E0,-6.248697174E-1,5.454048872E-2,1.509488372E0
8.658781475E1,-1.313786619E0,-3.355822313E-1,-1.455485266E-2,1.356046665E0
8.659778475E1,-1.149360064E0,-1.611217815E-1,-7.789894581E-2,1.163209797E0
8.660775475E1,-9.212396434E-1,-1.495226598E-1,-1.140452453E-1,9.402371107E-1
8.661772475E1,-5.696405728E-1,-1.697557801E-1,-2.214375285E-1,6.343043324E-1
8.662769475E1,-4.668082224E-1,-3.197713602E-1,-2.873450410E-1,6.346107562E-1
8.663766375E1,-5.566389965E-1,-4.937347966E-1,-3.198906434E-1,8.099080476E-1
8.664763375E1,-7.546879913E-1,-6.459594548E-1,-4.012394464E-1,1.071359265E0
8.665760375E1,-9.300581217E-1,-6.910590291E-1,-5.874229789E-1,1.299090623E0
8.666757375E1,-9.348928919E-1,-6.673760515E-1,-7.669699216E-1,1.381180066E0
8.667754375E1,-8.413282321E-1,-6.291545570E-1,-8.629905581E-1,1.359566605E0
8.668751375E1,-6.968161976E-1,-6.344451177E-1,-8.220495236E-1,1.250535421E0
8.669748375E1,-6.345382346E-1,-6.475382030E-1,-7.867370188E-1,1.200374788E0
8.670745375E1,-6.833828044E-1,-7.073546344E-1,-7.562882280E-1,1.240699206E0
8.671742375E1,-8.029832152E-1,-7.480091554E-1,-5.599053973E-1,1.231987741E0
8.672739275E1,-9.858173163E-1,-7.229678696E-1,-3.494477338E-1,1.271468458E0
8.673736275E1,-1.272802169E0,-5.535202378E-1,-4.401070583E-1,1.456057773E0
8.674733275E1,-1.431994223E0,-3.840568185E-1,-4.994504499E-1,1.564467272E0
8.675730275E1,-1.467004573E0,-2.901388407E-1,-4.161404908E-1,1.552242208E0
8.676727275E1,-1.343704921E0,-1.141125065E-1,-2.609203041E-1,1.373551595E0
8.677724275E1,-1.094566610E0,7.698034823E-2,-2.860703480E-1,1.133948095E0
8.678721275E1,-8.570655745E-1,2.588275856E-1,-4.692647839E-1,1.010822712E0
8.679718275E1,-6.476729813E-1,4.883851790E-1,-6.237283409E-1,1.023248463E0
8.680715275E1,-4.865088075E-1,7.337320089E-1,-6.745687115E-1,1.109097123E0
8.681712175E1,-4.769641051E-1,8.836557877E-1,-7.355072236E-1,1.244714098E0
8.682709175E1,-5.074532416E-1,9.852090597E-1,-7.213183701E-1,1.322288121E0
8.683706175E1,-5.014620383E-1,1.034168966E0,-8.027408481E-1,1.401913869E0
8.684703175E1,-4.560304883E-1,1.037780206E0,-8.727554083E-1,1.430613003E0
8.685700175E1,-3.916671158E-1,1.156330749E0,-7.774247432E-1,1.447374576E0
8.686697175E1,-1.702222417E-1,1.584082641E0,-7.311580646E-1,1.752964786E0
8.687694175E1,1.860993326E-2,2.274170448E0,-8.928920496E-1,2.443246563E0
8.688691175E1,3.200222057E-1,2.947333488E0,-1.335485344E0,3.251570391E0
8.689688075E1,5.830714810E-1,3.376556540E0,-1.518817774E0,3.748054675E0
8.690685075E1,9.131238542E-1,3.579599934E0,-1.031582158E0,3.835556362E0
8.691682075E1,9.946257082E-1,3.382922403E0,-2.686912171E-1,3.536331327E0
8.692679075E1,7.920354733E-1,2.744469604E0,1.335211694E-1,2.859591142E0
8.693676075E1,5.293003397E-1,1.985989839E0,1.766630960E-1,2.062892227E0
8.694673075E1,3.023810099E-1,1.354580011E0,5.606158705E-1,1.496867207E0
8.695670075E1,-3.904726759E-2,8.761052781E-1,1.174788655E0,1.466019622E0
8.696667075E1,-4.686714377E-1,5.865266007E-1,1.746539927E0,1.901070247E0
8.697664075E1,-7.296836892E-1,3.496956557E-1,1.929037374E0,2.091867713E0
8.698660975E1,-6.339217919E-1,1.426884341E-1,1.655041527E0,1.778026795E0
8.699657975E1,-4.317513871E-1,-1.361079776E-1,1.505789154E0,1.572366248E0
8.700654975E1,3.522698924E-2,-4.462875652E-1,1.586758912E0,1.648701724E0
8.701651975E1,5.150693862E-1,-6.611628002E-1,1.519720584E0,1.735506662E0
8.702648975E1,9.086618440E-1,-7.280970472E-1,1.551058152E0,1.939477519E0
8.703645975E1,1.168203375E0,-7.106834543E-1,1.519138201E0,2.043905813E0
8.704642975E1,1.196089915E0,-6.560108185E-1,1.067196306E0,1.732018832E0
8.705639975E1,1.225935274E0,-4.646384668E-1,6.044394728E-1,1.443659682E0
8.706636975E1,1.168410658E0,-2.465197814E-1,5.327760708E-1,1.307595431E0
8.707633875E1,1.109777265E0,-1.349221623E-1,6.002073312E-1,1.268880770E0
8.708630875E1,1.071161960E0,-1.108433282E-1,7.936518630E-1,1.337743424E0
8.709627875E1,9.176823436E-1,-2.590357465E-1,8.045944154E-1,1.247642807E0
8.710624875E1,6.401553623E-1,-5.544984770E-1,7.518104303E-1,1.132469148E0
8.711621875E1,3.743290982E-1,-8.787102127E-1,6.447338784E-1,1.152360918E0
8.712618875E1,1.788829914E-1,-1.110706095E0,6.059667655E-1,1.277835230E0
8.713615875E1,3.287728563E-2,-1.150737303E0,4.584369099E-1,1.239129395E0
8.714612875E1,-1.858756766E-2,-9.683784342E-1,2.698127131E-1,1.005435821E0
8.715609875E1,4.071460113E-2,-8.337503868E-1,6.382122595E-2,8.371801092E-1
8.716606775E1,6.783164844E-2,-6.639513373E-1,-1.634401659E-1,6.871282258E-1
8.717603775E1,-3.265991539E-2,-5.268312067E-1,-2.953089853E-1,6.048348429E-1
8.718600775E1,2.013386384E-2,-5.230334401E-1,-2.193302286E-1,5.675166087E-1
8.719597775E1,7.023967803E-3,-6.855287325E-1,-4.137138963E-2,6.868118892E-1
8.720594775E1,-6.175317541E-2,-9.545491844E-1,1.633454410E-1,9.703913300E-1
8.721591775E1,-1.190000479E-1,-1.230514959E0,2.833993399E-1,1.268323012E0
8.722588775E1,-6.391255215E-2,-1.482886049E0,2.232303214E-1,1.500955571E0
8.723585775E1,-3.175374314E-2,-1.535809198E0,-2.503189366E-2,1.536341365E0
8.724582675E1,5.478256345E-2,-1.438768807E0,-2.032819605E-1,1.454090907E0
8.725579675E1,2.114750791E-1,-1.188951196E0,-3.688517189E-1,1.262686915E0
8.726576675E1,3.467914899E-1,-9.315263575E-1,-3.027372698E-1,1.039064746E0
8.727573675E1,4.531555586E-1,-6.887698442E-1,-3.544897878E-1,8.974502037E-1
8.728570675E1,5.608542542E-1,-4.727187341E-1,-7.831784034E-1,1.073027916E0
8.729567675E1,7.326857959E-1,-4.717562824E-1,-9.813440502E-1,1.312409467E0
8.730564675E1,8.245093010E-1,-6.047582191E-1,-8.726197529E-1,1.344251957E0
8.731561675E1,8.366764797E-1,-7.312510353E-1,-7.889694858E-1,1.362801694E0
8.732558675E1,8.017345423E-1,-8.671713173E-1,-8.055381560E-1,1.429565001E0
8.733555575E1,6.695171557E-1,-9.582539803E-1,-8.796106839E-1,1.462948689E0
8.734552575E1,5.620833389E-1,-9.649969894E-1,-1.007747737E0,1.504231489E0
8.735549575E1,5.476220052E-1,-8.309285206E-1,-1.172540985E0,1.537915612E0
8.736546575E1,5.381405988E-1,-6.873624194E-1,-1.343126485E0,1.601889870E0
8.737543575E1,5.479319076E-1,-6.120555443E-1,-1.478187811E0,1.691118142E0
8.738540575E1,6.372275153E-1,-5.693790561E-1,-1.368538485E0,1.613427717E0
8.739537575E1,6.723947167E-1,-5.161559451E-1,-1.117938516E0,1.402967619E0
8.740534575E1,6.731050073E-1,-5.215552640E-1,-8.974832833E-1,1.237160656E0
8.741531575E1,5.913055301E-1,-6.031227529E-1,-6.736869514E-1,1.080395017E0
8.742528475E1,4.092187031E-1,-6.321249425E-1,-4.754686797E-1,8.905685573E-1
8.743525475E1,2.231763808E-1,-5.504498649E-1,-3.602726841E-1,6.946935710E-1
8.744522475E1,-1.147801124E-2,-4.107657301E-1,-3.694048655E-1,5.525578562E-1
8.745519483E1,-8.380207546E-2,-1.650353229E-1,-4.961748397E-1,5.295742793E-1
8.746516483E1,1.025661559E-1,3.213536167E-1,-5.932748723E-1,6.824683417E-1
8.747513483E1,2.446564930E-1,7.870814198E-1,-7.862949693E-1,1.139128500E0
8.748510483E1,4.423491731E-1,1.378455362E0,-7.752378845E-1,1.642195407E0
8.749507483E1,7.259033181E-1,1.995154765E0,-8.217806248E-1,2.276598682E0
8.750504383E1,9.776716333E-1,2.468755260E0,-1.014305974E0,2.842430468E0
8.751501383E1,1.129907547E0,2.638271888E0,-1.245334142E0,3.128582227E0
8.752498383E1,1.279953752E0,2.504692247E0,-1.428205812E0,3.154605633E0
8.753495383E1,1.470106375E0,2.279808333E0,-1.308093477E0,3.011618723E0
8.754492383E1,1.520506304E0,2.289722872E0,-8.043792379E-1,2.863877827E0
8.755489383E1,1.308696618E0,2.382780724E0,-3.954331978E-1,2.747125449E0
8.756486383E1,9.876388702E-1,2.499111664E0,-4.445345334E-1,2.723710814E0
8.757483383E1,4.747423824E-1,2.535714650E0,-5.574793510E-1,2.639320432E0
8.758480383E1,1.798313367E-1,2.355416924E0,-4.084011161E-1,2.397315096E0
8.759477283E1,3.285835527E-2,2.050682849E0,2.505227852E-1,2.066190089E0
8.760474283E1,-9.812088333E-2,1.804136170E0,1.035379413E0,2.082437407E0
8.761471283E1,-2.804592137E-1,1.667021302E0,1.456721513E0,2.231514051E0
8.762468283E1,-4.347057659E-1,1.780101775E0,1.573348907E0,2.415193205E0
8.763465283E1,-7.185260323E-1,1.851536624E0,1.349817747E0,2.401348679E0
8.764462283E1,-7.657939734E-1,1.880463384E0,9.443487167E-1,2.239280565E0
8.765459283E1,-8.278704999E-1,1.658642242E0,9.781200416E-1,2.095992001E0
8.766456283E1,-9.555703276E-1,1.231973255E0,1.698848866E0,2.305853469E0
8.767453283E1,-1.076703367E0,7.474115700E-1,2.505206802E0,2.827361900E0
8.768450183E1,-1.280640215E0,3.406237006E-1,2.930290024E0,3.216001165E0
8.769447183E1,-1.503212433E0,5.572454989E-2,2.638986418E0,3.037598090E0
8.770444183E1,-1.424928594E0,-5.217821360E-2,1.804344331E0,2.299739665E0
8.771441183E1,-1.157595794E0,-3.069028080E-2,1.022162439E0,1.544598967E0
8.772438183E1,-7.540845586E-1,-2.908872843E-2,7.440395538E-1,1.059756827E0
8.773435183E1,-2.826764779E-1,-7.002508521E-2,7.999143040E-1,8.512769217E-1
8.774432183E1,1.496162152E-1,-1.397244805E-1,9.520390479E-1,9.737999235E-1
8.775429183E1,4.761006175E-1,-1.797983730E-1,9.273684756E-1,1.057833419E0
8.776426183E1,6.315677029E-1,-3.405207896E-1,5.948724047E-1,9.320436414E-1
8.777423083E1,6.115465441E-1,-6.553886747E-1,1.749872839E-1,9.133148636E-1
8.778420083E1,5.386893600E-1,-9.860311782E-1,-3.745799437E-3,1.123591448E0
8.779417083E1,4.360827121E-1,-1.249913682E0,-2.656148873E-2,1.324068675E0
8.780414083E1,2.960404354E-1,-1.460692357E0,2.631839074E-2,1.490622273E0
8.781411083E1,1.334961726E-1,-1.565148187E0,2.136935127E-1,1.585299654E0
8.782408083E1,-8.719631106E-2,-1.584391374E0,1.510921255E-1,1.593966139E0
8.783405083E1,-3.589437582E-1,-1.604441476E0,-7.117223583E-2,1.645642294E0
8.784402083E1,-6.173965372E-1,-1.705812315E0,1.174128212E-2,1.814142221E0
8.785398983E1,-7.792335793E-1,-1.807244550E0,2.478248799E-1,1.983621689E0
8.786395983E1,-9.326422986E-1,-1.827993979E0,3.954074335E-1,2.089911645E0
8.787392983E1,-1.047809935E0,-1.767268891E0,3.566638557E-1,2.085270749E0
8.788389983E1,-1.169592819E0,-1.674989303E0,2.461116457E-1,2.057694698E0
8.789386983E1,-1.251713162E0,-1.500854543E0,1.721922418E-1,1.961886941E0
8.790383983E1,-1.331289821E0,-1.344137469E0,1.032792970E-1,1.894651613E0
8.791380983E1,-1.362448609E0,-1.086109782E0,-4.386939324E-2,1.742935798E0
8.792377983E1,-1.376715085E0,-7.808535504E-1,-1.900649142E-1,1.594114602E0
8.793374983E1,-1.302921761E0,-4.224806267E-1,-3.860085460E-1,1.423059238E0
8.794371883E1,-1.219437117E0,-1.608627498E-1,-4.665107087E-1,1.315498365E0
8.795368883E1,-1.131496894E0,-9.352329075E-2,-4.762111664E-1,1.231181912E0
8.796365883E1,-1.023174446E0,-1.544623876E-1,-5.004631877E-1,1.149438114E0
8.797362883E1,-9.409083612E-1,-2.288594359E-1,-5.436693970E-1,1.110523119E0
8.798359883E1,-8.582075357E-1,-4.219725037E-1,-7.578459994E-1,1.220209624E0
8.799356883E1,-8.065523556E-1,-6.785857487E-1,-1.047274915E0,1.485863408E0
8.800353883E1,-7.899478711E-1,-8.668479663E-1,-1.317265420E0,1.763698166E0
8.801350883E1,-7.683750075E-1,-1.012021467E0,-1.418603514E0,1.904474608E0
8.802347883E1,-7.779352051E-1,-1.057303475E0,-1.370577993E0,1.897777083E0
8.803344783E1,-8.460479584E-1,-9.801781154E-1,-1.196969483E0,1.763315692E0
8.804341783E1,-9.467237096E-1,-7.491242194E-1,-8.272033326E-1,1.463467879E0
8.805338783E1,-1.035379924E0,-4.534433877E-1,-6.894288254E-1,1.323984365E0
8.806335783E1,-1.083947921E0,-3.142469108E-1,-6.812544179E-1,1.318257106E0
8.807332783E1,-1.208449614E0,-2.932624233E-1,-4.374231863E-1,1.318215598E0
8.808329783E1,-1.347168812E0,-3.563860399E-1,-3.480379701E-2,1.393946240E0
8.809326783E1,-1.433534964E0,-3.983468288E-1,3.223102212E-1,1.522362167E0
8.810323783E1,-1.474961172E0,-3.056251913E-1,4.415045428E-1,1.569663492E0
8.811320683E1,-1.361680870E0,-3.094521940E-2,2.427144134E-1,1.383489315E0
8.812317683E1,-1.092117650E0,3.936731493E-1,-2.005899755E-1,1.178106892E0
8.813314683E1,-8.082612044E-1,7.540376347E-1,-7.153460971E-1,1.316654460E0
8.814311683E1,-5.851839338E-1,1.047643290E0,-1.180944604E0,1.683635013E0
8.815308683E1,-4.553329155E-1,1.181995348E0,-1.359545467E0,1.858172474E0
8.816305683E1,-4.480310588E-1,1.124985580E0,-1.337365808E0,1.804126296E0
8.817302683E1,-5.731328224E-1,8.966728592E-1,-1.316639768E0,1.692939375E0
8.818299683E1,-4.830696215E-1,6.291615736E-1,-1.184482169E0,1.425552017E0
8.819296683E1,-3.056691916E-1,7.208102471E-1,-1.030459492E0,1.294159122E0
8.820293583E1,-2.656406151E-1,9.893974203E-1,-9.038847419E-1,1.366191721E0
8.821290583E1,-2.240828454E-1,1.338682017E0,-6.759380563E-1,1.516303043E0
8.822287583E1,-2.456467921E-1,1.784926897E0,-5.619559793E-1,1.887352881E0
8.823284583E1,-2.577414653E-1,2.306108524E0,-6.877600300E-1,2.420244006E0
8.824281583E1,-3.776510476E-1,2.668155254E0,-8.090675354E-1,2.813585443E0
8.825278583E1,-5.624993683E-1,2.640325431E0,-7.576143765E-1,2.803872940E0
8.826275583E1,-6.357825221E-1,2.334375134E0,-6.085501385E-1,2.494766513E0
8.827272583E1,-4.415225230E-1,1.831403491E0,-3.750124184E-1,1.920837109E0
8.828269583E1,-2.560748626E-1,1.519392555E0,-7.042978562E-2,1.542429391E0
8.829266483E1,-1.815091221E-1,1.480776958E0,3.841351712E-1,1.540521273E0
8.830263483E1,-2.508946681E-1,1.589934534E0,9.064506463E-1,1.847293353E0
8.831260483E1,-3.818341456E-1,1.578166428E0,1.312074262E0,2.087569270E0
8.832257483E1,-4.011279108E-1,1.359436124E0,1.399286653E0,1.991726214E0
8.833254483E1,-3.094994102E-1,1.014581378E0,1.413590112E0,1.767314987E0
8.834251483E1,-2.032215880E-1,6.121099234E-1,1.409875960E0,1.550396013E0
8.835248483E1,-1.101922408E-2,2.242056370E-1,1.510073848E0,1.526667160E0
8.836245483E1,2.462759525E-1,-2.555408657E-2,1.744252496E0,1.761738240E0
8.837242483E1,5.692157726E-1,-4.890494227E-2,1.632557813E0,1.729636754E0
8.838239383E1,1.004825006E0,4.086619020E-2,9.840418824E-1,1.407011644E0
8.839236383E1,1.333013434E0,1.967167068E-1,5.715465458E-1,1.463655605E0
8.840233383E1,1.674891654E0,3.402255052E-1,5.838561042E-1,1.806074029E0
8.841230383E1,1.951343040E0,4.180496067E-1,6.429094740E-1,2.096625318E0
8.842227383E1,1.985671459E0,3.822699094E-1,5.338928159E-1,2.091426060E0
8.843224383E1,1.713783824E0,1.890825820E-1,3.153333235E-1,1.752781311E0
8.844221383E1,1.264643257E0,-9.222111583E-2,1.569065237E-1,1.277672477E0
8.845218383E1,8.205383107E-1,-4.072603244E-1,-6.686057210E-2,9.184848541E-1
8.846215363E1,2.696439113E-1,-6.256181610E-1,-8.502326645E-2,6.865383296E-1
8.847212263E1,-2.663437428E-1,-8.185856330E-1,-5.912470579E-2,8.628540773E-1
8.848209262E1,-7.066824970E-1,-9.880730259E-1,8.337033167E-3,1.214807788E0
8.849206263E1,-9.548972400E-1,-1.169719704E0,8.532140136E-2,1.512399638E0
8.850203262E1,-1.028810577E0,-1.324115433E0,1.820354446E-1,1.686674179E0
8.851200263E1,-1.045179273E0,-1.409414615E0,3.275562700E-1,1.784976857E0
8.852197262E1,-9.902560839E-1,-1.558305776E0,4.292264863E-1,1.895563077E0
8.853194263E1,-9.638184831E-1,-1.736823608E0,5.165079474E-1,2.052384656E0
8.854191262E1,-9.244005751E-1,-1.872394227E0,5.433934450E-1,2.157696225E0
8.855188162E1,-8.478461965E-1,-1.875564002E0,4.754195631E-1,2.112488405E0
8.856185163E1,-6.433737429E-1,-1.703205042E0,3.687979611E-1,1.857646125E0
8.857182162E1,-3.890356495E-1,-1.554951813E0,2.446966561E-1,1.621450070E0
8.858179163E1,-1.145311671E-1,-1.361483234E0,1.531385779E-1,1.374847413E0
8.859176162E1,2.038797652E-1,-1.156543003E0,2.635215841E-2,1.174671492E0
